,classification,offense,minimum
0,Classification (Penalty),Crime (CGS §),Mandatory Minimum Sentence (if applicable)
1,Capital A felony—Murder with special circumstances (life without possibility of release),Murder with special circumstances (53a-54b),Life without possibility of release
2,Class A Felonies—Murder (25 to 60 years),Murder (53a-54a),25 years
3,Class A Felonies—Murder (25 to 60 years),Felony murder (53a-54c),25 years
4,Class A Felony—Aggravated sexual assault of a minor (25 to 50 years),Aggravated sexual assault of a minor (53a-70c),● 1st offense: 25 years ● Subsequent offense: 50 years
5,Class A Felonies (10 to 25 years),Assault of pregnant woman resulting in termination of pregnancy (53a-59c),10 years*
6,Class A Felonies (10 to 25 years),Sexual assault 1st degree (when force is used or threatened and victim under 16 or victim under 13 and actor more than two years older) (53a-70),"● Five years ● 10 years if victim under 10 ● In all cases, 10-year mandatory minimum period of combined imprisonment and special parole"
7,Class A Felonies (10 to 25 years),Aggravated sexual assault 1st degree (victim under 16) (53a-70),"● Five years ● 20 years if force is used or threatened ● In all cases, five-year period of special parole"
8,Class A Felonies (10 to 25 years),Kidnapping 1st degree (53a-92),10 years*
9,Class A Felonies (10 to 25 years),Kidnapping 1st degree with a firearm (53a-92a),10 years*
10,Class A Felonies (10 to 25 years),Home invasion (53a-100aa),10 years
11,Class A Felonies (10 to 25 years),Arson 1st degree (53a-111),"No mandatory minimum (pursuant to State v. O'Neill, 200 Conn. 268 (1986))"
12,Class A Felonies (10 to 25 years),Employing a minor in an obscene performance (53a-196a),10 years
13,Class B Felony—Manslaughter 1st degree with a firearm (five to 40 years),Manslaughter 1st degree with a firearm (53a-55a),Five years
14,Class B Felonies (one to 20 years),Manslaughter 1st degree (53a-55),
15,Class B Felonies (continued),Assault 1st degree (53a-59),● Five years when committed with a deadly weapon or dangerous instrument ● 10 years if victim is under age 10 or a witness
16,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Five years,
17,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Assault of Department of Correction employee 1st degree (53a-59b),
18,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)","Sexual assault 1st degree (also an A felony under certain circumstances, see above) (53a-70)","● Two years ● 10 years if victim under age 10 ● In all cases, 10-year mandatory minimum period of combined imprisonment and special parole"
19,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Aggravated sexual assault 1st degree (victim over age 16) (53a-70a),● Five years ● Five years of special parole
20,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Sexual assault in spousal or cohabitation relationship (53a-70b),Two years
21,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Sexual assault 2nd degree (victim under 16) (53a-71),Nine months
22,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Sexual assault 3rd degree with a firearm (victim under 16) (53a-72b),● Two years ● Combined prison and special parole term of 10 years
23,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Promoting prostitution 1st degree (53a-86),Nine months if the prostitute is under age 18
24,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Enticing a minor (victim under age 13 or 3rd or subsequent offense with victim 13 or older) (53a-90a),When minor under age 13: ● 1st offense: five years ● Subsequent offense: 10 years
25,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Kidnapping 2nd degree (53a-94),Three years
26,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Kidnapping 2nd degree with a firearm (53a-94a),Three years
27,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Burglary 1st degree (53a-101),"Five years when committed with explosive, deadly weapon, or dangerous instrument"
28,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Arson 2nd degree (53a-112),
29,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Larceny 1st degree (53a-122),
30,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Identity theft 1st degree (53a-129b),
31,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Robbery 1st degree (53a-134),Five years when committed with a deadly weapon
32,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Possession of a weapon or dangerous instrument in a correctional institution (53a-174a),
33,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Rioting at correctional institution (53a-179b),
34,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Trafficking in persons (53a-192a),
35,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Promoting a minor in an obscene performance (53a-196b),
36,"Assault of an elderly, blind, disabled, or pregnant person or person with intellectual disabilities 1st degree (53a-59a)",Importing child pornography (53a-196c),Five years
37,Class B Felonies (continued),Possessing child pornography 1st degree (53a-196d),Five years
38,Class B Felonies (continued),Computer crime 1st degree (53a-252),
39,Class B Felonies (continued),Money laundering 1st degree (53a-276),
40,Class B Felonies (continued),Vendor fraud 1st degree (53a-291),
41,Class B Felonies (continued),Computer crime in furtherance of terrorism (53a-301),When directed toward public safety agency: Five years
42,Class C Felonies (one to 10 years),Manslaughter 2nd degree (53a-56),
43,Class C Felonies (one to 10 years),Manslaughter 2nd degree with a firearm (53a-56a),One year
44,Class C Felonies (one to 10 years),Manslaughter 2nd degree with a motor vehicle while intoxicated (53a-56b),
45,Class C Felonies (one to 10 years),Strangulation 1st degree (53a-64aa),
46,Class C Felonies (one to 10 years),Sexual assault 2nd degree (victim 16 or older) (53a-71),Nine months
47,Class C Felonies (one to 10 years),Sexual assault 3rd degree (victim under 16) (53a-72a),
48,Class C Felonies (one to 10 years),Sexual assault 3rd degree with a firearm (victim 16 or older) (53a-72b),● Two years ● Combined prison and special parole term of 10 years
49,Class C Felonies (one to 10 years),Patronizing a prostitute (when the perpetrator knows or should know the prostitute is under age 18 or a trafficking victim) (53a-83),
50,Class C Felonies (one to 10 years),Promoting prostitution 2nd degree (53a-87),
