class,offense,statute,type
A,Murder (53a-54a),53a-54a,felony
A,Felony murder (53a-54c),53a-54c,felony
A,Aggravated sexual assault of a minor (53a-70c),53a-70c,felony
A,Assault of pregnant woman resulting in termination of pregnancy (53a-59c),53a-59c,felony
A,Sexual assault 1st degree (when force is used or threatened and victim under 16 or victim under 13 and actor more than two years older) (53a-70),53a-70,felony
A,Aggravated sexual assault 1st degree (victim under 16) (53a-70),53a-70,felony
A,Kidnapping 1st degree (53a-92),53a-92,felony
A,Kidnapping 1st degree with a firearm (53a-92a),53a-92a,felony
A,Home invasion (53a-100aa),53a-100aa,felony
A,Arson 1st degree (53a-111),53a-111,felony
A,Employing a minor in an obscene performance (53a-196a),53a-196a,felony
B,Manslaughter 1st degree with a firearm (53a-55a),53a-55a,felony
B,Manslaughter 1st degree (53a-55),53a-55,felony
B,Assault 1st degree (53a-59),53a-59,felony
B,Possessing child pornography 1st degree (53a-196d),53a-196d,felony
B,Computer crime 1st degree (53a-252),53a-252,felony
B,Money laundering 1st degree (53a-276),53a-276,felony
B,Vendor fraud 1st degree (53a-291),53a-291,felony
B,Computer crime in furtherance of terrorism (53a-301),53a-301,felony
C,Manslaughter 2nd degree (53a-56),53a-56,felony
C,Manslaughter 2nd degree with a firearm (53a-56a),53a-56a,felony
C,Manslaughter 2nd degree with a motor vehicle while intoxicated (53a-56b),53a-56b,felony
C,Strangulation 1st degree (53a-64aa),53a-64aa,felony
C,Sexual assault 2nd degree (victim 16 or older) (53a-71),53a-71,felony
C,Sexual assault 3rd degree (victim under 16) (53a-72a),53a-72a,felony
C,Sexual assault 3rd degree with a firearm (victim 16 or older) (53a-72b),53a-72b,felony
C,Patronizing a prostitute (when the perpetrator knows or should know the prostitute is under age 18 or a trafficking victim) (53a-83),53a-83,felony
C,Promoting prostitution 2nd degree (53a-87),53a-87,felony
C,"Enticing a minor (2nd offense, victim 13 or older) (53a-90a)",53a-90a,felony
C,Misrepresentation of age to entice a minor (53a-90b),53a-90b,felony
C,Burglary 2nd degree (53a-102),53a-102,felony
C,Burglary 2nd degree with a firearm (53a-102a),53a-102a,felony
C,Arson 3rd degree (53a-113),53a-113,felony
C,Larceny 2nd degree (53a-123),53a-123,felony
C,Criminal trover 1st degree (second and subsequent offenses) (53a-126a),53a-126a,felony
C,Identity theft 2nd degree (53a-129c),53a-129c,felony
C,Robbery 2nd degree (53a-135),53a-135,felony
C,Forgery 1st degree (53a-138),53a-138,felony
C,Bribery (53a-147),53a-147,felony
C,Bribe receiving (53a-148),53a-148,felony
C,Bribery of a witness (53a-149),53a-149,felony
C,Bribe receiving by a witness (53a-150),53a-150,felony
C,Tampering with a witness (53a-151),53a-151,felony
C,Intimidating a witness (53a-151a),53a-151a,felony
C,Bribery of a juror (53a-152),53a-152,felony
C,Bribe receiving by a juror (53a-153),53a-153,felony
C,Hindering prosecution 1st degree (53a-165aa),53a-165aa,felony
C,Hindering prosecution 2nd degree (53a-166),53a-166,felony
C,"Assault of public safety, emergency medical, public transit, or health care personnel (53a-167c)",53a-167c,felony
C,Assault on a prosecutor (53a-167d),53a-167d,felony
C,Escape 1st degree (53a-169),53a-169,felony
C,"Escape from custody (by person arrested for, charged with, or convicted of a felony) (53a-171)",53a-171,felony
C,Inciting injury to persons or property (53a-179a),53a-179a,felony
C,Inciting to riot at correctional institution (53a-179c),53a-179c,felony
C,Falsely reporting an incident resulting in serious physical injury or death (53a-180a),53a-180a,felony
C,Intimidation based on bigotry or bias 1st degree (53a-181j),53a-181j,felony
C,Possessing child pornography 2nd degree (53a-196e),53a-196e,felony
C,Commercial sexual exploitation of a minor (53a-196i),53a-196i,felony
C,Stealing a firearm (53a-212),53a-212,felony
C,"Criminal possession of firearm, ammunition, or electronic defense weapon (53a-217)",53a-217,felony
C,Criminal possession of a pistol or revolver (53a-217c),53a-217c,felony
C,Interference with a cemetery or burial ground (53a-218),53a-218,felony
